Hotel Name,Location,Rating,Review Score,Number of Reviews,Room Score,Room Type,Bed Type,Room Price(THB)
Hotel Reimar,Sant Antoni de Calonge,8.3,Very Good,1014,8.5,Standard Double Room with Balcony,1 double or 2 twins,1706
Hotel-Restaurante Venta Tomas,Almuradiel,7.7,Good,207,8.0,Double Room,1 full bed,1206
Casas de Benaojan 15,Benaoján,9.6,Exceptional,27,9.6,Holiday Home,"7 beds (4 twins, 1 full, 1 bunk bed, 1 sofa bed)",3070
Residencial El Llano,Valle Gran Rey,8.7,Excellent,1270,8.7,One-Bedroom Apartment,"3 beds (2 twins, 1 sofa bed)",1838
Apartamentos Hesperia Bristol Playa,Corralejo,6.9,Review score,2320,9.0,One-Bedroom Apartment with Sea View,2 twin beds,1951
Vacances Menorca Blanc Palace,Sa Caleta,7.1,Good,716,9.0,One-Bedroom Apartment,"3 beds (2 twins, 1 sofa bed)",1156
Red Level at Gran Melia Palacio de Isora - Adults Only,Alcalá,8.9,Excellent,234,9.4,Deluxe Double Room with Side Ocean View and Hot Tub,1 king bed,8639
Hotel Roses Platja,"Santa Margarida, Roses",7.8,Good,2910,8.1,Standard Double Room,1 double or 2 twins,1879
Alda Mirador del Moncayo,Olvega,8.4,Very Good,402,9.1,Triple Room,3 twin beds,2063
La Pergola Mallorca,Port d'Andratx,8.2,Very Good,430,8.6,Standard Double Room (2 Adults),2 twin beds,2902
TRH La Motilla,Dos Hermanas,8.3,Very Good,2175,8.6,Twin Room,2 twin beds,2535
Vincci Tenerife Golf,San Miguel de Abona,7.7,Good,1888,8.2,Double Room,2 twin beds,2266
Be Free Isla Plana,Isla Plana,7.4,Good,826,9.0,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)",1193
Hostal La Cuna del Sella,Oseja de Sajambre,9.3,Wonderful,396,9.5,Basic Twin Room,2 twin beds,2092
Mercure Algeciras,Algeciras,7.9,Good,1652,8.2,Superior Room,1 queen bed,1525
OCEAN HOMES Apartamentos exclusivos en Isla Canela,Isla Canela,9.5,Exceptional,27,9.4,Apartment - Ground Floor,"3 beds (2 twins, 1 full)",3268
La Vega de Pendueles,Pendueles,8.7,Excellent,642,8.9,Superior Double Room,1 full bed,1999
Apartamentos Boutique Granada 3000,"Albaicin, Granada",8.4,Very Good,934,8.6,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)",2747
Carema Garden Village,Fornells,7.4,Good,704,9.0,One-Bedroom Apartment,"3 beds (2 twins, 1 sofa bed)",1208
Sol Fuerteventura Jandia - All Suites,Morro del Jable,8.2,Very Good,1013,8.8,Junior Suite with Terrace,"3 beds (2 twins, 1 sofa bed)",3612
Rentalmar Pins Marina,Cambrils,7.1,Good,1269,9.0,One-Bedroom Apartment (2 Adults),2 twin beds,904
TRH Jardín Del Mar,Santa Ponsa,7.7,Good,1612,9.0,One-Bedroom Apartment with Sea View (3 Adults),"3 beds (2 twins, 1 sofa bed)",1751
"INNER Hotel Rupit ""Adults Only""",Cala d´Or,9.1,Wonderful,705,9.0,Double Room with Pool View,1 double or 2 twins,2472
Canyamel Park Hotel & Spa - 4* Sup - Adults only (+16),Canyamel,8.7,Excellent,572,9.2,Double Room Plus,2 twin beds,2386
Sunset Bay Club,Adeje,8.4,Very Good,2665,8.7,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)",3090
Puerta del Sol,Ciudad-Rodrigo,8.3,Very Good,872,8.4,Quadruple Room,Multiple bed types,2694
INNSiDE by Meliá Alcudia,Port d'Alcudia,8.5,Very Good,757,9.0,The Loft Lagoon View,"3 beds (2 twins, 1 sofa bed)",3405
Hotel Bemon Playa,Somo,8.2,Very Good,1253,8.3,Double or Twin Room,2 twin beds,1641
Hotel Jucamar,Cangas de Morrazo,8.1,Very Good,1375,8.4,Superior Double Room,Multiple bed types,1183
Apartamentos Balcon del Cielo,Trevélez,9.5,Exceptional,113,9.4,Apartment,1 full bed,1547
Ilunion Caleta Park,Sant Feliu de Guíxols,8.1,Very Good,2066,8.5,Double or Twin Room,1 double or 2 twins,1895
Hipotels Bahia Cala Millor - Adults Only,Cala Millor,9.1,Wonderful,499,9.4,Double Room with Pool View,3 twin beds,2583
Rodeiramar 2A,Cangas de Morrazo,9.4,Wonderful,374,9.5,Duplex Apartment,"2 beds (1 sofa bed, 1 queen)",1756
Camping Del Mar,"Malgrat de Mar Beach, Malgrat de Mar",8.2,Very Good,463,8.2,Bungalow premium,"4 beds (2 twins, 1 full, 1 sofa bed)",1845
OCEAN HOMES Apartamentos exclusivos en Isla Canela,Isla Canela,9.5,Exceptional,27,9.4,Apartment - Ground Floor,"3 beds (2 twins, 1 full)",3268
Vacaciones Oromarina Jardines del Mar,"Marina dOr Holiday Resort Area, Oropesa del Mar",7.3,Good,2497,9.0,Standard Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)",1917
Apartamentos Juan Benítez,El Cotillo,8.6,Excellent,446,8.8,Apartment with Sea View 2,1 queen bed,1732
Montemar,Llanes,9.2,Wonderful,994,9.5,Gastronomic Offer,2 twin beds,3610
Occidental Jandía Playa,Morro del Jable,7.9,Good,1908,8.3,Family Room with Sea View,2 king beds,3506
Mercure Benidorm,Benidorm,9.0,Wonderful,1664,9.4,Deluxe Double Room with Terrace,1 queen bed,3761
Aparthotel Ona Cala Pi Club,Cala Pi,8.8,Excellent,1604,8.9,One-Bedroom Apartment (2 Adults),"2 beds (1 full, 1 sofa bed)",2738
Hotel Mediterráneo,Guardamar del Segura,8.2,Very Good,976,8.4,Double or Twin Room,1 double or 2 twins,1686
Apartaments Palamós - Pal Beach,Palamós,8.1,Very Good,703,9.0,One-Bedroom Apartment with Balcony or Terrace (2 - 4 Adults),"3 beds (2 twins, 1 sofa bed)",1469
Agroturismo Son Vives Menorca - Adults Only,Ferreries,9.7,Exceptional,457,9.8,Superior Double Room,1 queen bed,5856
Apartamentos Centremar,L'Estartit,8.7,Excellent,828,9.0,Two-Bedroom Apartment Street View (3 Adults + 2 Children),"5 beds (4 twins, 1 sofa bed)",1623
"Hotel Marqués, Blue Hoteles","Gijon City Centre, Gijón",8.3,Very Good,1795,8.6,Special Offer - Double Room,1 double or 2 twins,1565
Sol Tenerife,Playa de las Americas,7.1,Good,4226,9.0,Twin Room,2 twin beds,2664
Apartamentos Tapahuga,Playa de Santiago,8.7,Excellent,290,9.0,Apartment with Mountain View,"3 beds (2 twins, 1 sofa bed)",2083
Oassium Hotel - Adults Only,La Pineda,8.9,Excellent,69,9.1,Twin Room,2 twin beds,1769
Balneario de Mondariz,Mondariz-Balneario,7.8,Good,1712,8.1,Double Room with Spa Access,1 double or 2 twins,2632
Barceló Sevilla Renacimiento,"Triana, Seville",8.7,Excellent,5707,9.1,Habitación Deluxe Premium,"2 beds (1 king, 1 sofa bed)",4903
Hotel Blancafort Spa Termal,La Garriga,7.5,Good,1609,9.0,Double or Twin Room with Spa Access,1 double or 2 twins,3362
NH Campo Cartagena,Cartagena,8.1,Very Good,1560,8.7,Standard Double or Twin Room,1 double or 2 twins,1452
Valentina Beach,Las Palmas de Gran Canaria,8.5,Very Good,1727,8.6,Senior Suite with Terrace and Jacuzzi,"3 beds (1 full, 1 sofa bed, 1 queen)",3450
Crisol Monasterio de San Miguel,El Puerto de Santa María,8.1,Very Good,3250,8.4,Double or Twin Room,1 double or 2 twins,2494
Hotel K10,Urnieta,8.5,Very Good,1188,8.9,Superior Double Room,1 king bed,2793
Círculo Artístico 1911 Hotel Boutique,Caravaca de la Cruz,9.0,Wonderful,140,9.3,Deluxe Queen Room,1 queen bed,3866
La Siesta,Villamarciel,8.1,Very Good,1464,8.5,Standard Double Room,1 queen bed,1238
Hotel Palacio Marqués de Arizón,Sanlúcar de Barrameda,8.5,Very Good,570,9.0,Double or Twin Room,1 double or 2 twins,2421
White Sands Beach Club,Arenal d'en Castell,8.9,Excellent,1015,9.1,Two-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)",3547
Residencial Marina de Port,L'Ametlla de Mar,8.8,Excellent,143,8.5,Three-Bedroom Duplex Apartment with Sea View,"6 beds (4 twins, 1 bunk bed, 1 sofa bed)",3203
Senator Gandia Spa Hotel,Gandía,8.7,Excellent,4684,9.1,Double Room,1 queen bed,1870
Hotel Capri,Port de Pollensa,8.5,Very Good,606,8.7,Economy Double Room,2 twin beds,2572
TRH Mijas,Mijas,8.1,Very Good,2625,8.2,Twin Room,2 twin beds,2764
Vendaval,Santa Marta de Ortigueira,8.8,Excellent,314,9.1,Standard Double,1 full bed,1689
Grupotel Flamingo Beach,Playa Blanca,8.3,Very Good,1948,8.3,Standard Apartment (2 Adults),2 twin beds,2061
Daniya Denia Spa & Business 4*,Denia,7.7,Good,1090,8.1,Junior Suite with Garden View,2 twin beds,3738
Pierre & Vacances Almeria Roquetas de Mar,Roquetas de Mar,8.0,Very Good,1747,8.1,One-Bedroom Apartment (2 - 4 Adults),"2 beds (1 full, 1 sofa bed)",1211
Apartments at Cala Blanca,Taurito,8.4,Very Good,759,8.9,One-Bedroom Apartment (3 Adults),"3 beds (2 twins, 1 sofa bed)",1563
Golf Lovers Home,San Miguel de Salinas,8.0,,545,9.0,One-Bedroom Apartment,1 full bed,1535
Hotel Alda Castillo de Olite,Olite,8.5,Very Good,1486,8.8,Standard Double Room,1 double or 2 twins,1711
Silken Río Santander,"El Sardinero Beach, Santander",8.3,Very Good,4017,8.7,Standard Double or Twin Room,1 double or 2 twins,2482
NH Castellón Mindoro,Castellón de la Plana,8.1,Very Good,2877,8.5,Standard Double or Twin Room,1 double or 2 twins,1975
"Holiday Inn Express Campo de Gibraltar-Barrios, an IHG Hotel",Los Barrios,8.2,Very Good,1999,8.6,Double or Twin Room,1 double or 2 twins,1307
SPA Sercotel Odeón,Ferrol,8.2,Very Good,1470,8.8,Double or Twin Room,2 twin beds,1352
Hotel Auditorio Santiago & Spa,Lugo,8.2,Very Good,1743,8.6,Double or Twin Room with Spa Access,2 twin beds,1457
Grupotel Playa de Palma Suites & Spa,Playa de Palma,8.9,Excellent,2372,9.3,Junior Suite with Pool View (2 Adults),2 twin beds,4268
Hotel Gardu,Montealegre del Castillo,7.2,Good,192,9.0,Studio with Spa Bath,1 king bed,2193
Hotel Spa Galatea,Burela de Cabo,8.0,Very Good,680,8.4,Superior Double Room,1 full bed,1458
La Marine,Melenara,8.8,Excellent,451,9.2,Apartment with Beach View (No Jacuzzi),"2 beds (1 sofa bed, 1 queen)",2303
AC Hotel Palencia by Marriott,Palencia,8.3,Very Good,1011,8.9,"Standard Plus Twin Room, Guest room, 2 Twin/Single Bed(s)",2 twin beds,2182
Hotel Los Kekes,Coria,8.1,Very Good,339,8.4,Standard Triple Room,3 twin beds,987
"Hotel Las Águilas Tenerife, Affiliated by Meliá",Puerto de la Cruz,8.2,Very Good,2065,8.5,Suite - Ground Floor,2 twin beds,1979
NH Ciudad de Cuenca,Cuenca,8.6,Excellent,3204,9.0,Standard Double or Twin Room,1 double or 2 twins,1957
Hotel Apartamentos Londres La Manga,La Manga del Mar Menor,7.4,Good,1865,9.0,Standard Studio,1 double or 2 twins,1526
Aparthotel Pierre & Vacances Mallorca Cecilia,Portocolom,8.2,Very Good,850,8.4,Studio (2 Adults),1 sofa bed,1297
Casa Flor,Raso,8.5,Very Good,26,8.9,Four-Bedroom House,"5 beds (2 twins, 2 fulls, 1 sofa bed)",1540
Hotel Jonquera,La Jonquera,7.3,Good,2633,9.0,Double Room with Extra Bed,3 twin beds,1711
Payet Apartments,L'Estartit,8.0,Very Good,568,9.0,One-Bedroom Apartment (2 - 4 Adults),"3 beds (2 twins, 1 sofa bed)",1118
Exe Estepona Thalasso & Spa- Adults Only,Estepona,8.3,Very Good,1597,8.8,Deluxe Double Room,1 double or 2 twins,2535
Plaza de la Luz Cádiz,"Old Town, Cádiz",8.9,Excellent,6935,9.2,Studio,1 full bed,2408
Casas Rurales Noguericas,Archivel,8.4,Very Good,146,8.5,Two-Bedroom Apartment,"3 beds (2 twins, 1 full)",1798
Hotel Rural El Angel de la Guarda,Güemes,9.2,Wonderful,326,9.3,Double Room with Terrace and Spa Bath,1 full bed,1938
Complejo Rural El Molinillo,Arenas del Rey,8.8,Excellent,189,8.7,Two-Bedroom Villa,"4 beds (2 twins, 1 full, 1 queen)",1535
Hotel Las Rampas,"El Castillo Beach, Fuengirola",8.3,Very Good,1574,8.6,Double or Twin Room,1 double or 2 twins,1602
Ona Club Bena Vista,Estepona,8.6,Excellent,729,8.9,One-Bedroom Apartment,"3 beds (2 twins, 1 sofa bed)",1584
Hotel Aloe Canteras,Las Palmas de Gran Canaria,8.6,Excellent,2559,8.9,Deluxe Double Room with Sea View,2 twin beds,2599
ALCAMAR Habitaciones en Pisos compartidos cerca al Mar!,Guía de Isora,8.2,Very Good,142,8.5,Small Double Room,1 full bed,628
Apartamentos Vacacionales Broncemar,San Bartolomé,7.1,Good,45,9.0,One-Bedroom Apartment,1 full bed,1485
Aparthotel Ona Aucanada,Port d'Alcudia,8.6,Excellent,1601,8.8,Two-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)",3239
Hotel Sa Barrera - Adults Only,Cala en Porter,8.5,Very Good,412,8.9,Deluxe Double or Twin Room,1 double or 2 twins,5108
Hotel Benalma Costa del Sol,Benalmádena,8.5,Very Good,2851,8.9,Gran Sea View Double Room (2 Adults +2 Children),"3 beds (2 twins, 1 sofa bed)",5572
Hotel Ribera,Santiago de la Ribera,8.2,Very Good,443,8.1,Twin Room,2 twin beds,1231
Corralejo Surfing Colors Hotel&Apartments,Corralejo,8.5,Very Good,2886,8.7,Surfing Dreams Room,2 twin beds,1715
Hotel Cerro La Nina,Beceña,8.7,Excellent,1433,9.0,Double or Twin Room,1 double or 2 twins,1593
Casa Rural La Plazuela,Cazalla de la Sierra,8.0,Very Good,255,8.2,Twin Room,2 twin beds,1316
Ramada by Wyndham Valencia Almussafes,Almussafes,8.1,Very Good,809,8.7,Twin Room - Non-Smoking,2 twin beds,2713
Lopesan Costa Meloneras Resort & Spa,Meloneras,8.8,Excellent,1375,9.4,Deluxe Vista (2+0),1 king bed,7010
Axel Hotel San Sebastián - Adults Only,"San Sebastian City Center, San Sebastián",8.4,Very Good,6326,9.1,Standard Double Room,1 double or 2 twins,3373
Plaza de la Luz Cádiz,"Old Town, Cádiz",8.9,Excellent,6935,9.2,Studio,1 full bed,2408
El Mesón de Despeñaperros,Santa Elena,8.4,Very Good,992,8.5,Quadruple,4 twin beds,1974
Hotel Rural El Navío - Adults Only,Alcalá,8.9,Excellent,429,8.8,Budget Twin Room,2 twin beds,2193
"Casa Uwe, El Remo",Puerto Naos,9.0,Wonderful,6,8.3,Apartment with Sea View,"4 beds (2 twins, 1 full, 1 sofa bed)",1773
Hotel Patricia,Torreguadiaro,7.5,Good,817,9.0,Double Room,1 full bed,1877
Teide Rooms,Puerto de Sagunto,8.0,Very Good,931,8.6,Double Room with Balcony,1 full bed,1582
Aparthotel Areu,Areu,8.9,Excellent,232,9.2,Two-Bedroom Apartment (4 Adults),"3 beds (2 twins, 1 full)",2517
Eurostars Arenas de Pinto,Pinto,8.6,Excellent,2459,8.9,Double or Twin Room,Multiple bed types,2324
Apartamentos la Higar,La Pesa,8.3,Very Good,171,8.3,One-Bedroom Apartment,"3 beds (2 twins, 1 sofa bed)",2402
Sancho Ramirez,Pamplona,8.1,Very Good,2721,8.5,Double Room,1 double or 2 twins,2350
Hotel Olympus Palace,"Salou City Centre, Salou",8.7,Excellent,2641,9.1,Double Room with Pool View,1 double or 2 twins,2416
Senator Marbella Spa Hotel,Marbella,7.8,Good,3316,8.3,Superior Double or Twin Room with Sea View,1 double or 2 twins,3389
Alua Leo,Can Pastilla,8.1,Very Good,2989,8.4,Double Room with Pool View,"3 beds (2 twins, 1 sofa bed)",2879
Balneario Cervantes,Santa Cruz de Mudela,7.3,Good,944,9.0,Standard Double Room,2 twin beds,1304
Hotel Mirador Jorquera,Jorquera,8.6,Excellent,554,9.0,Standard Double Room,1 double or 2 twins,2273
Hotel Florida Magaluf - Adults Only,Magaluf,8.8,Excellent,1604,9.0,Double or Twin Room with Sea View,2 twin beds,3592
"7Pines Resort Ibiza, part of Destination by Hyatt",San Jose,8.6,Excellent,311,9.1,Resort Suite,1 king bed,9562
Hotel BCL Levante Club & Spa - Only Adults Recomended,"Rincon de Loix, Benidorm",8.5,Very Good,2791,9.0,Double or Twin Room with Balcony (2 Adults),1 double or 2 twins,2858
Hotel-Restaurante La Sima,Castillo de Garcimuñoz,7.9,Good,267,8.2,Twin Room with Bathroom,2 twin beds,1097
casa Decklid golf apartment,Alhama de Murcia,8.9,Excellent,21,8.9,Three-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)",1664
Hotel Naranjo De Bulnes,Arenas de Cabrales,8.3,Very Good,614,8.4,Triple Room,Multiple bed types,2005
Dreams Jardin Tropical Resort & Spa,Adeje,8.6,Excellent,2587,8.9,Double Room,"3 beds (2 twins, 1 sofa bed)",4136
Hotel Hacienda de Abajo-Adults Only,Tazacorte,9.2,Wonderful,205,9.3,Premium Double Room,1 double or 2 twins,6030
Hotel Abeiras,O Grove,8.7,Excellent,985,9.0,Twin Room,2 twin beds,1334
Apartamentos Rurales Campillo,Arroyo Frio,8.6,Excellent,374,8.2,3-Bedroom Apartment,"5 beds (4 twins, 1 full)",2197
Aparthotel Areu,Areu,8.9,Excellent,232,9.2,Two-Bedroom Apartment (4 Adults),"3 beds (2 twins, 1 full)",2517
Hotel & Restaurante Peña,Arrós,8.8,Excellent,1409,9.2,Economy Double Room,1 double or 2 twins,1777
Hotel Real,Lleida,8.4,Very Good,1264,8.8,Twin Room,2 twin beds,1835
Apartamentos Vista Alegre Mallorca,Porto Cristo,8.6,Excellent,569,8.6,Apartment with Pool View,"3 beds (2 twins, 1 sofa bed)",2149
Finca Cortesin Hotel Golf & Spa,Casares,9.6,Exceptional,130,9.9,Executive Suite with Sea View and Spa Access,1 king bed,37342
Casa Rural - Suerte (+Piscina),Illana,8.9,Excellent,25,8.6,Three-Bedroom Villa,"6 beds (2 twins, 2 fulls, 1 king, 1 sofa bed)",6786
Kn Aparthotel Columbus,Playa de las Americas,7.6,Good,2224,9.0,Double or Twin Room (2 Adults),2 twin beds,3677
Hostal Doris,Colònia de Sant Jordi,9.2,Wonderful,466,9.4,Twin Room,2 twin beds,1485
C.T.R. Camino de la Fuentona,Cabrejas del Pinar,9.3,Wonderful,174,9.1,Double or Twin Room,2 twin beds,1276
Lopesan Villa del Conde Resort & Thalasso,Meloneras,8.7,Excellent,1197,9.3,Double or Twin Room (2 Adults),1 king bed,4608
Vivienda familiar en A Guarda,A Guarda,9.4,Wonderful,40,9.7,Three-Bedroom Apartment,"4 beds (2 twins, 1 king, 1 queen)",2002
Hotel El Patio,Garachico,8.7,Excellent,602,8.8,Basic Double or Twin Room - 1640 feet from main building,1 double or 2 twins,2662
Occidental Fuengirola,"El Castillo Beach, Fuengirola",8.5,Very Good,3429,9.1,Superior Double or Twin Room with Lateral Sea View,Multiple bed types,4639
Hotel Medium Sitges Park,"Sitges Town Center, Sitges",8.2,Very Good,2855,8.5,Double or Twin Room,1 double or 2 twins,2942
Hoposa Costa D'or - Adults Only,Deia,8.9,Excellent,603,9.2,Double or Twin Room,1 double or 2 twins,5648
Hotel Malcom and Barret,"Quatre Carreres, Valencia",8.7,Excellent,13504,9.0,Double Room,Multiple bed types,4673
Amanecer Cabrerizos,Cabrerizos,9.8,Exceptional,18,9.9,Two-Bedroom House,"4 beds (1 twin, 2 fulls, 1 sofa bed)",4887
Porcel Avant,Torrejón de Ardoz,8.3,Very Good,1805,8.6,Double Room with parking included,1 double or 2 twins,2049
Ona Alanda Club Marbella,"Nikki Beach, Marbella",8.7,Excellent,2243,9.0,Superior Two-Bedroom Apartment (6 Adults),"5 beds (4 twins, 1 sofa bed)",4677
Hotel Spa Norat O Grove 3* Superior,O Grove,8.3,Very Good,2383,8.6,Double Room,1 double or 2 twins,1265
Camping Torre de la Mora,Tamarit,8.5,Very Good,1771,8.4,Tent (Foret 2 pax),1 full bed,1087
El Marques Palace by Intercorp Group,Puerto de Santiago,8.5,Very Good,1669,8.5,Two-Bedroom Apartment with Garden View,"4 beds (2 twins, 1 full, 1 sofa bed)",2256
Macdonald Leila Playa Resort,La Cala de Mijas,9.0,Wonderful,396,9.1,Classic One-Bedroom Apartment with Terrace,"3 beds (2 twins, 1 sofa bed)",3075
Hotel Bahía de Vigo,Vigo,8.2,Very Good,4591,8.6,Double or Twin Room with Sea View,1 double or 2 twins,2275
Hotel VIDA Finisterre Centro,Finisterre,8.8,Excellent,1482,9.2,Double Room - Attic,1 full bed,1350
Pierre & Vacances Estartit Playa,L'Estartit,8.1,Very Good,3212,8.3,One-Bedroom Apartment (4 Adults),"3 beds (2 twins, 1 sofa bed)",1344
Art Suites by Casa de Indias,El Puerto de Santa María,9.3,Wonderful,663,9.5,Deluxe King Room,1 queen bed,4198
NH Campo de Gibraltar,Los Barrios,8.1,Very Good,2123,8.5,Standard Double or Twin Room,1 double or 2 twins,1362
Ampuria Inn,Empuriabrava,7.9,Good,2936,8.1,Double or Twin Room,1 double or 2 twins,1672
Apartamentos Manilva Green,Manilva,8.2,Very Good,899,8.1,One-Bedroom Apartment with Sea View,"3 beds (2 twins, 1 sofa bed)",1435
Neptuno Suites - Adults Only,Costa Teguise,7.9,Good,959,8.2,One-Bedroom Apartment with Sea View (2 Adults),2 twin beds,2632
Cortijo Del Mar Resort,Estepona,8.8,Excellent,266,9.1,Two-Bedroom Apartment,"3 beds (2 twins, 1 full)",3952
Casas Rurales Los Cortijos,Alcaraz,8.4,Very Good,204,8.2,Studio,1 full bed,1856
Hotel plaza,Riaza,7.1,Good,366,9.0,Double Room,1 full bed,1206
Carema Club Resort,Fornells,7.5,Good,235,9.0,Promo One-Bedroom Apartment,"3 beds (2 twins, 1 sofa bed)",1308
Sol Costa Daurada,Salou,7.9,Good,2203,8.0,Double Room,1 double or 2 twins,1277
Chijere San Sebastián,San Sebastián de la Gomera,7.9,Good,259,8.0,One-Bedroom Apartment Upper Floor,2 twin beds,1620
Porcel Alixares,"Granada City Center, Granada",8.3,Very Good,7519,8.7,Double or Twin Room,2 twin beds,2360
Hotel Matilde by Grupo Matilde,Las Palmas de Gran Canaria,8.8,Excellent,2687,9.1,Superior Family Room,1 double or 2 twins,1879
Mamboo Hotel Cala Ratjada,Cala Ratjada,9.1,Wonderful,425,9.2,Double or Twin Room with Extra Bed,1 queen bed,1994
Apartamentos Marina,Naveces,8.1,Very Good,438,8.4,Studio (6 Adults),"3 beds (1 full, 2 sofa beds)",2198
Hotel Noia,Noya,8.9,Excellent,597,9.2,Standard Double Room,1 full bed,1552
Hostal Mourelos,O Grove,7.7,Good,525,9.0,Double Room,1 double or 2 twins,833
Meliá Fuerteventura,Costa Calma,7.9,Good,1377,8.2,Melia Guestroom with Sea View,2 twin beds,2953
Zoetry Mallorca Wellness & Spa,Llucmajor,8.8,Excellent,217,9.3,Deluxe Room at Ponent Buildings (2 Adults),2 twin beds,7463
Calpe Sunsea Village,Calpe,7.3,Good,284,9.0,Three-Bedroom Apartment,6 twin beds,1775
Bungalows Conca De Ter,Vilallonga de Ter,8.3,Very Good,378,8.0,Filandés Bungalow (4 Adults),"2 beds (1 full, 1 bunk bed)",2531
RS Jardin del Pintor VDE 066,Jacarilla,8.4,Very Good,22,9.2,Apartment,"3 beds (2 twins, 1 full)",1097
Altamira Camping Park,Queveda,7.6,Good,289,9.0,Two-Bedroom Bungalow (4 Adults),"3 beds (2 twins, 1 full)",1990
Crown Resorts Club Marbella,La Cala de Mijas,8.1,Very Good,863,8.2,Apartment (1-2 Adults),1 full bed,2407
Pierre & Vacances Estartit Playa,L'Estartit,8.1,Very Good,3212,8.3,One-Bedroom Apartment (4 Adults),"3 beds (2 twins, 1 sofa bed)",1344
BALNEARIO DE RETORTILLO,Retortillo,7.5,Good,305,9.0,Double or Twin Room with Balcony,"3 beds (2 twins, 1 queen)",1354
Apartamentos Colón Playa,Las Palmas de Gran Canaria,8.1,Very Good,1896,8.3,Exterior Studio,2 twin beds,1665
Apartamentos Igramar MorroJable - Adults Only,Morro del Jable,8.9,Excellent,975,9.0,Apartment with Sea View,"3 beds (2 twins, 1 sofa bed)",3167
Apartamentos VIDA Corcubión,Corcubión,8.7,Excellent,249,8.8,Two-Bedroom Apartment (5 Adults),"4 beds (2 twins, 1 full, 1 sofa bed)",1625
A Morada do Cigarron,Verín,8.1,Very Good,817,8.2,Double Room,1 double or 2 twins,855
Cortijo Del Mar Resort,Estepona,8.8,Excellent,266,9.1,Two-Bedroom Apartment,"3 beds (2 twins, 1 full)",3952
Hostal Mulhacen,Trevélez,7.7,Good,639,9.0,Deluxe King Room,1 king bed,1358
Hotel Cordoba Center,"Vial Norte, Córdoba",8.9,Excellent,7173,9.2,Twin Room with Extra Bed,3 twin beds,5860
Portomar Apartments,Portocolom,8.8,Excellent,714,9.2,Apartment with lateral Sea View,"2 beds (1 full, 1 sofa bed)",2682
Hotel Peñiscola Palace,"Norte Beach, Peniscola",8.7,Excellent,2896,9.1,Twin Room with Sea View,2 twin beds,2562
Amita Hotel Boutique,Suances,8.5,Very Good,699,8.7,Deluxe Double Room with Spa Bath and Balcony with Sea View,1 queen bed,2913
Hotel El Guerra,Güéjar-Sierra,8.3,Very Good,852,8.4,Double or Twin Room,2 twin beds,1551
Camping Urbion,Abejar,8.2,Very Good,93,8.4,Superior Bungalow,"4 beds (2 twins, 2 fulls)",2621
Hotel Aubí,Sant Antoni de Calonge,8.2,Very Good,1518,8.5,Standard Double Room,1 full bed,1373
Be Live Experience Costa Palma,"Cala Major, Palma de Mallorca",7.7,Good,1807,8.0,Deluxe Twin Room with Sea View - VIP,2 twin beds,4813
Sol Port Cambrils Hotel,Cambrils,8.5,Very Good,1666,9.0,Standard Room,1 double or 2 twins,1800
Hotel y Apartamentos SNÖ Isaba,Isaba,7.7,Good,1123,9.0,Apartment (4 Adults),"3 beds (2 twins, 1 sofa bed)",1991
Aparthotel Novo Resort,Novo Sancti Petri,9.1,Wonderful,381,9.3,Luxury Two-Bedroom Apartment,"3 beds (2 twins, 1 queen)",5655
Apartamentos Buga,Posada,8.7,Excellent,132,8.6,Two-Bedroom Duplex Apartment,"3 beds (2 twins, 1 full)",2557
Hotel Playa San Cristóbal,Almuñécar,7.8,Good,1199,8.1,Standard Double Room,2 twin beds,1436
Finca Floretta,Canillas de Albaida,9.4,Wonderful,7,10.0,Villa,"11 beds (9 twins, 2 bunk beds)",5527
Hotel Bell Repos,Platja d'Aro,8.1,Very Good,1114,8.3,Double or Twin Room with Garden View,1 double or 2 twins,2035
Hotel Mesón Kubano B&B,Sant Mateu,8.1,Very Good,446,8.1,Basic Triple Room,"2 beds (1 twin, 1 full)",1689
Hotel La Caminera Club de Campo,Torrenueva,9.2,Wonderful,320,9.8,Classic Double Room with Spa Access,1 king bed,4287
Ona Los Claveles,Los Cristianos,8.5,Very Good,1360,8.7,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)",1581
Hotel Mediterraneo,"Rincon de Loix, Benidorm",8.5,Very Good,1590,8.8,Double or Twin Room,2 twin beds,2379
Conjunto Hotelero La Pasera,Soto de Cangas,7.8,Good,1709,9.0,Double or Twin Room,1 double or 2 twins,1290
Catalonia Atenas,"Sant Martí, Barcelona",8.1,Very Good,5764,8.5,Double or Twin Room,1 double or 2 twins,5316
Blau Colònia Sant Jordi,Colònia de Sant Jordi,8.2,Very Good,273,8.7,Superior Double or Twin Room,2 twin beds,3596
Cortijo Sabila,Villanueva del Rosario,8.8,Excellent,264,9.1,Superior Suite with Mountain View,1 queen bed,3290
