Hotel Name,Location,Rating,Review Score,Number of Reviews,Room Score,Room Type,Bed Type,Room Price(THB)
"Nature Beach Resort, Koh Lanta","Klong Nin Beach, Ko Lanta",8.4,Very Good,344,8.3,Double Room with Fan,1 full bed,236
Blue View House Phi Phi,Phi Phi Islands,8.1,Very Good,494,8.0,Double Room with Balcony,1 queen bed,804
Villa Navin,Jomtien Beach,6.7,Review score,368,9.0,Deluxe Studio,1 queen bed,603
The Malika Hotel - SHA Extra Plus,Phuket,8.7,Excellent,489,9.2,Room with City View,1 queen bed,873
Forra Dive Resort Pattaya Beach,"Ko Lipe Pattaya Beach, Ko Lipe",6.9,Review score,74,9.0,Standard Bungalow with Garden View,1 queen bed,549
Chanchalay Hip Hostel SHA Extra Plus,Krabi,9.1,Wonderful,473,9.2,Double or Twin room with shared bathroom (Air conditioning),1 double or 2 twins,296
The Ozone Krabi Condotel,Krabi,8.3,Very Good,167,8.4,Triple Room with Mountain View,1 full bed,650
Wixky hotel,Nong Khai,7.9,Good,24,9.0,Deluxe Queen Room,1 queen bed,576
Andaman Pearl Resort,Ao Nang Beach,8.5,Very Good,167,8.7,Deluxe Room,1 double or 2 twins,739
Cliff Cottage,"Bang Bao Bay, Ko Chang",8.7,Excellent,247,8.2,Tent- Mongolian Tent for 2 Adults,2 twin beds,524
Phuket Beach Glamping,Rawai Beach,7.8,Good,48,9.0,Geo Tent,1 queen bed,2661
Bansaeo Garden and Resort,Chiang Saen,8.8,Excellent,62,9.2,Deluxe Double Room with Bath,1 queen bed,1165
Elixir Koh Yao Yai - SHA Plus,Ko Yao Yai,8.8,Excellent,242,8.9,Superior Villa,1 full bed,1515
Momento Resort,Pattaya South,7.1,Good,807,9.0,Double Room with Private Bathroom,1 king bed,378
Sun Inn,Songkhla,8.4,Very Good,137,8.9,Standard Queen Room,1 queen bed,436
The Patong Center Hotel-SHA Certified,Patong Beach,7.3,Good,110,9.0,Deluxe Double Room,1 full bed,442
The Chanthong Residence and Hotel Pattaya,Pattaya,8.3,Very Good,40,8.4,Standard Double Bed Room with Street View,1 king bed,376
Koh Phaluai Beach Bangalow,Ban Ko Nok Taphao,9.1,Wonderful,36,8.3,Bungalow with Garden View,1 full bed,830
Krabi River Hotel,Krabi,8.5,Very Good,359,8.5,Twin Room with Sea View,2 twin beds,571
Atlantis Condo Resort jomtien,Jomtien Beach,6.6,Review score,80,9.0,Standard Apartment,"2 beds (1 king, 1 sofa bed)",638
Kata Max Luxe1,Ban Karon,8.0,,545,9.0,Two-Bedroom Villa,"3 beds (1 sofa bed, 2 queens)",385
"The Hideaway, Koh Lipe","Ko Lipe Sunrise Beach, Ko Lipe",7.9,Good,258,9.0,Double Room with Garden View,1 queen bed,33889
Baan Chaylay Resort Karon,Karon Beach,7.9,Good,165,8.1,Standard Double Room,1 king bed,363
Cocoo-n Beach Hotel,Patong Beach,6.1,Review score,33,9.0,Standard King Room,1 king bed,253
Chom Suan Homestay,"Klong Chao Beach, Ko Kood",7.0,Good,13,9.0,Deluxe Double Room,1 full bed,582
Hotel Scarlett,Ban Ba Ngan,9.1,Wonderful,39,9.6,Superior Double Room,1 king bed,728
Phranang Place- SHA Extra,Ao Nang Beach,8.2,Very Good,305,8.4,Superior Double Room,1 double or 2 twins,599
Tropical Garden Bungalow,Phi Phi Islands,6.8,Review score,339,9.0,Fan Bungalow Twin Bed,2 twin beds,472
Easy Life Bungalows,Haad Yao,7.2,Good,52,9.0,Superior Bungalow,1 full bed,320
White Orchid Inn II,"Khlong Toei, Bangkok",5.2,Review score,82,9.0,Superior Double Room,1 full bed,367
Rawai Whale Resort,Rawai Beach,8.1,Very Good,41,8.2,King Studio,1 queen bed,452
NN Apartment,Pattaya South,8.6,Excellent,175,9.0,Deluxe Double Room,1 king bed,341
7 Days Premium Hotel Pattaya,"Pattaya Walking Street, Pattaya South",7.4,Good,497,9.0,Deluxe Double or Twin Room with City View,1 double or 2 twins,623
Grand Mansion Hotel,Krabi,7.5,Good,26,8.0,Standard Double or Twin Room with Air Conditioning,1 double or 2 twins,332
VX The Fifty,"Khlong Toei, Bangkok",7.5,Good,243,9.0,Bed in 4-Bed Dormitory Room,1 full bed,244
"Baan Suan Kayoo 2, ??????????????????? ??????????? ????????",Ko Phayam,8.9,Excellent,52,8.4,Bungalow with Fan,1 queen bed,271
Phi Phi Sand Sea View Resort,"Tonsai Bay, Phi Phi Islands",7.1,Good,1197,9.0,Standard Double Room (Building),1 queen bed,559
"Pailin Pool Villa, Hua Hin",Hua Hin,8.8,Excellent,54,9.2,Superior Villa,1 queen bed,1799
Silver Resortel,Patong Beach,8.1,Very Good,290,8.6,Standard King Room,1 king bed,487
Veranda Lodge,Hua Hin,7.8,Good,304,8.1,Garden Bungalow,1 king bed,2178
Golden Nest Hotel Suvarnabhumi,Bangkok,8.0,Very Good,187,8.5,Economy Double Room,1 king bed,749
JJ Beach Resort & JJ Seafood,"Aow Yai Beach, Ko Phayam",9.1,Wonderful,121,9.0,Deluxe Bungalow,1 queen bed,632
64House,"Chang Moi, Chiang Mai",8.2,Very Good,81,8.2,Triple Room with Bath,"2 beds (1 twin, 1 queen)",707
Nam Talay Resort,Pran Buri,8.2,Very Good,115,8.5,Standard Double Room,1 full bed,445
Baan Suan Rim Klong,"Klong Khong Beach, Ko Lanta",9.0,Wonderful,193,9.1,Superior Double Room,1 king bed,449
O'nya Phuket Hotel - SHA Extra Plus,Phuket,8.5,Very Good,112,9.1,Superior Double or Twin Room,"3 beds (2 twins, 1 queen)",537
The Loft Panwa Resort,Panwa Beach,8.8,Excellent,88,8.9,Standard Double or Twin Room with Garden View,Multiple bed types,840
Sugar Marina Resort - ART - Karon Beach - SHA Plus,Karon Beach,8.2,Very Good,607,8.4,Deluxe Double or Twin Room,Multiple bed types,978
Park 38 Hotel - SHA Plus,Phuket,7.9,Good,23,9.0,Superior Twin Room,2 twin beds,668
Erawan House,"Khaosan, Bangkok",7.5,Good,259,9.0,Superior Double Room,1 full bed,611
Rocco Hua Hin Beach Seaview,Hua Hin,7.5,Good,315,9.0,Studio with Sofa Bed,"2 beds (1 sofa bed, 1 queen)",1258
Has Pattaya,Pattaya South,8.2,Very Good,94,8.8,Superior Double or Twin Room with City View,1 king bed,996
Madina Rayong Hotel,Rayong,7.6,Good,5,8.0,Standard Twin Room,2 twin beds,984
Saisawan Beach Resort,Na Jomtien,7.8,Good,79,8.4,Deluxe Room with City View,1 double or 2 twins,945
????????????,Ban Don Rak,8.6,Excellent,33,9.0,Double Room with Private Bathroom,1 king bed,321
Jaroonwej Bangsaen,Bangsaen,5.8,Review score,128,9.0,Standard Apartment,1 king bed,526
P'Un House,"Sairee Beach, Ko Tao",7.6,Good,127,9.0,Standard Double Room with Air-Conditioning,1 full bed,437
Srisomthai Hotel,Ubon Ratchathani,7.8,Good,12,8.1,Standard Double Room,1 full bed,297
Andaman Bay Bungalow,"Klong Khong Beach, Ko Lanta",7.1,Good,72,9.0,Budget Double Room,1 full bed,204
President Hotel Udonthani,Udon Thani,8.1,Very Good,80,8.4,Deluxe Double Room,1 queen bed,544
?????????????????,Sangkhla Buri,8.0,Very Good,43,8.4,Double Room,1 king bed,550
Phalarn Inn Resort,Mae Nam,7.5,Good,179,9.0,Two-Bedroom Cottage,"2 beds (1 full, 1 queen)",1048
Poseidon Bungalows,Khao Lak,7.9,Good,240,9.0,Bungalow with Sea View,"3 beds (1 full, 2 bunk beds)",854
65 hostel chiangmai,Chiang Mai,6.7,Review score,40,9.0,Double or Twin Room with Bathroom,1 full bed,291
65 hostel chiangmai,Chiang Mai,6.7,Review score,40,9.0,Double or Twin Room with Bathroom,1 full bed,291
Diary Suite,Nakhon Pathom,8.5,Very Good,205,8.8,Deluxe Twin Room,2 twin beds,495
Shanti Lodge Phuket,Chalong,7.8,Good,138,9.0,Double Room with Shared Bathroom,"3 beds (2 twins, 1 queen)",446
????????????? ? ????????(Once upon a time),"Chiang Khan Walking Street, Chiang Khan",7.5,Good,38,8.0,Double Room with Shared Bathroom,1 king bed,297
Rasta view Bangalows,Ban Khlong Kloi,7.4,Good,29,9.0,Double Room,1 full bed,262
Garden Corner Resort & Hotel,Phitsanulok,7.4,Good,157,9.0,Standard King Room,1 king bed,349
D5 Hotel ???? ?????????,Chon Buri,8.7,Excellent,179,8.8,Deluxe Double Room,1 queen bed,292
U Hostel Haad Rin,Ko Phangan,8.0,Very Good,84,9.0,Economy Quadruple Room,2 bunk beds,1026
No. 8 Pai,Pai,8.4,Very Good,181,8.6,Standard Double Room with Fan,1 full bed,291
Norn Talay Surin Beach Phuket,Surin Beach,7.9,Good,714,8.1,Deluxe Double or Twin Room with Sea View,"2 beds (1 sofa bed, 1 queen)",3104
Oriole Residence - Suvarnabhumi,Ban Khlong Thewa,8.8,Excellent,166,9.2,Standard King Room,1 king bed,815
?????????????? ???????????? ???? Impact,Thung Si Kan,7.4,Good,68,9.0,Standard Twin Room,2 twin beds,530
"Holiday Style Ao Nang Beach Resort, Krabi","Nopparat Thara Beach, Ao Nang Beach",8.2,Very Good,1098,8.5,Superior Double or Twin Room with Garden View,1 full bed,920
Escape Beach Resort - SHA Extra Plus Certified,Mae Nam,8.2,Very Good,1583,8.6,Economy Double Room,1 king bed,1078
Avani Plus Riverside Bangkok Hotel,"Thonburi, Bangkok",9.0,Wonderful,754,9.4,Avani River View Two Bedroom Suite,"4 beds (2 twins, 1 king, 1 sofa bed)",15522
VELA Dhi Udon Thani,Udon Thani,8.9,Excellent,269,9.4,Deluxe Twin Room,2 twin beds,1310
Anahata Resort - SHA Plus,Lipa Noi,8.9,Excellent,339,9.1,Superior Bungalow,1 full bed,1607
Outrigger Surin Beach Resort - SHA Extra Plus,Surin Beach,9.1,Wonderful,355,9.5,Grand Surin Suite 1 King,1 king bed,4938
Yao Yai Beach Resort,Ko Yao Yai,8.5,Very Good,364,8.8,Standard Room - No Sea View,1 queen bed,1374
The Peri Hotel Khao Yai,Phayayen,8.0,Very Good,235,8.4,King Room with Mountain View,1 king bed,1781
Khao Sok Jungle Huts Resort,Khao Sok National Park,8.2,Very Good,800,8.1,Bungalow with Air-Conditioner,1 full bed,594
The Sunnery Ville,Lom Kao,8.4,Very Good,118,8.7,King Room with Mountain View,1 king bed,926
Anana Ecological Resort Krabi-SHA Extra Plus,Ao Nang Beach,8.9,Excellent,1128,9.2,Superior Double or Twin Room,1 king bed,1862
Hotel Ibis Samui Bophut,Bophut,7.6,Good,1183,8.0,Standard Twin Room,2 twin beds,845
VST Residence -SHA PLUS Certified,Ban Khlong Bang Ping,8.4,Very Good,79,8.8,Superior Twin Room,2 twin beds,722
VST Residence -SHA PLUS Certified,Ban Khlong Bang Ping,8.4,Very Good,79,8.8,Superior Twin Room,2 twin beds,722
Na Siri Lake View,Samut Prakan,7.6,Good,1019,8.0,Apartment with Garden View,2 twin beds,688
Hivetel,Chalong,7.8,Good,222,8.2,Standard Double Room,1 king bed,758
Hotel Tide Phuket Beach front - SHA Plus,Phuket,8.4,Very Good,1664,9.0,Deluxe Room,1 queen bed,1735
Amatara Welleisure Resort - SHA Extra Plus,Panwa Beach,8.6,Excellent,727,8.9,Cape Panwa Suite,1 king bed,4598
Style Paidoi Resort,Ban Pa Yang (3),9.6,Exceptional,7,9.6,Tent,1 full bed,673
The Heritage Chiang Rai Hotel and Convention - SHA Extra Plus,Chiang Rai,8.7,Excellent,828,9.1,Deluxe Double Room,1 king bed,986
Koh Tao Relax Freedom Beach Resort,"Chalok Baan Kao, Ko Tao",9.0,Wonderful,537,9.1,Superior House - Hillside (Free pick up and drop off at Mae Haad Pier),1 king bed,1385
@T Boutique Hotel,Klong Wan,8.2,Very Good,275,8.4,Family Room,"3 beds (1 full, 2 bunk beds)",2149
Rayong Marriott Resort & Spa,Klaeng,7.9,Good,340,8.3,Deluxe King Room with Mountain View,"2 beds (1 full, 1 king)",2852
Tiki Beach Koh Phangan,Ban Tai,8.0,Very Good,532,9.0,Deluxe Bungalow with Garden View,"2 beds (1 twin, 1 full)",1501
Coconut Beach Bungalows,Chaloklum,9.3,Wonderful,100,9.2,Two-Bedroom Bungalow,2 queen beds,3059
Venice Krabi Villa Resort- SHA Plus,Ao Nam Mao,8.9,Excellent,345,9.6,Lagoon Grand Deluxe Twin,2 twin beds,1827
O2 Hotel Lopburi,Lop Buri,7.6,Good,425,8.2,Superior King Room,1 king bed,495
Hotel Agnes,Buriram,8.8,Excellent,53,9.2,Large Twin Room,Multiple bed types,838
The Dorm Hostel,Ban Lo Long,8.7,Excellent,90,8.9,Bunk Bed in Mixed Dormitory Room,1 queen bed,362
Somerset Pattaya - SHA Plus,Pattaya,8.9,Excellent,159,9.3,Deluxe Twin Room,2 twin beds,2907
Inpawa Hotel,Ban Phai,8.2,Very Good,99,8.6,Superior Double Room,1 queen bed,699
Chiangkhong Teak Garden Riverfront Onsen Hotel- SHA Extra Plus,Chiang Khong,8.3,Very Good,192,8.7,Resort Garden View,Multiple bed types,790
Island Escape by Burasari - SHA Extra Plus,Phuket,8.5,Very Good,1388,9.2,Deluxe Room with Schedule Boat Transfer,1 double or 2 twins,2869
???????????????? ???????? Double D hotel,Pak Kret,8.6,Excellent,43,8.9,Deluxe King Room,1 king bed,781
"Tawaravadee Resort, BW Signature Collection","304 Industrial Park, Si Maha Phot",8.2,Very Good,96,8.8,Superior Double Room,1 full bed,797
Lub d Phuket Patong,Patong Beach,8.1,Very Good,893,8.4,Junior Twin Room,2 twin beds,773
The Waters Khao Lak by Katathani - SHA Extra Plus,"Bang Niang Beach, Khao Lak",8.7,Excellent,358,9.0,Upper Pool Access Room,1 double or 2 twins,1421
VILLA DEVA RESORT AND HOTEL,"Sathorn, Thung Maha Mek",9.7,Exceptional,9,9.7,Deluxe Twin Pool View,2 twin beds,4600
Panviman Chiang Mai Spa Resort,Mae Rim,8.7,Excellent,257,8.9,Valley Deluxe Double Room,1 king bed,1723
Napa Hotel Ratchaburi,Ratchaburi,8.5,Very Good,134,8.8,Superior Twin Room,2 twin beds,707
Centre Point Hotel Terminal21 Korat,Nakhon Ratchasima,8.9,Excellent,866,9.4,Deluxe King Room 2 Pax,1 king bed,1120
Fortune River View Hotel Nakhon Phanom,Nakhon Phanom,8.2,Very Good,324,8.6,Deluxe River View Room,2 twin beds,1385
Fortune Riverview Hotel Chiang Khong,Chiang Khong,8.0,Very Good,189,8.5,Superior Double or Twin Room with Pool View,Multiple bed types,1018
"Holiday Inn Resort Samui Bophut Beach, an IHG Hotel","Fisherman Village, Bophut",8.7,Excellent,173,9.2,Standard King Room with Balcony,1 king bed,2208
Outrigger Khao Lak Beach Resort - SHA Extra Plus,"Bangsak Beach, Khao Lak",9.2,Wonderful,407,9.6,Deluxe Garden Balcony - King Bed,1 king bed,1559
Outrigger Koh Samui Beach Resort - SHA Extra Plus,Lamai,8.5,Very Good,290,9.1,Superior Balcony -King Bed,1 king bed,2033
Katiliya Mountain Resort And Spa,Mae Salong Nai,8.7,Excellent,161,9.0,Standard Suite,1 king bed,2574
Grand Inter Hotel,Samut Sakhon,8.2,Very Good,464,8.4,Deluxe Double Room with Balcony,1 king bed,514
JonoX Phuket Karon Hotel,Karon Beach,8.6,Excellent,203,8.7,Recharge,Multiple bed types,1294
Scandia Beach Hotel,Jomtien Beach,7.3,Good,775,9.0,Superior Twin Room with Balcony,2 twin beds,358
Come Moon Loft Hotel,Phrae,8.5,Very Good,321,8.8,Double Room,1 full bed,414
Lady Naya Villas - SHA Extra Plus,Rawai Beach,9.1,Wonderful,315,9.3,Deluxe Double or Twin Room with Pool Access,Multiple bed types,1223
Fortune View Khong Hotel Nakhon Phanom,Nakhon Phanom,8.4,Very Good,343,8.8,Superior Double Room with City View,1 full bed,862
Dusit Thani Krabi Beach Resort - SHA Extra Plus,Klong Muang Beach,8.7,Excellent,515,9.1,Deluxe King Room,1 king bed,3317
Centra by Centara Hotel Mae Sot,Mae Sot,7.7,Good,143,8.3,Superior Twin Room,2 twin beds,569
The Oceanic Sportel - SHA Extra Plus,Phuket,8.2,Very Good,669,9.2,Deluxe King Room,1 king bed,1034
Novotel Marina Sriracha & Koh Si Chang,Si Racha,8.5,Very Good,655,9.1,"Premiere, Deluxe Room, Lounge Access, Sea View - 1 King Bed Sea View and Lounge Access",1 king bed,2099
????????3???????????????????????,Ban Ko Mu (1),8.0,Very Good,1,10.0,Budget Double Room,1 full bed,297
Riverfront Hotel Mukdahan,Mukdahan,7.8,Good,206,8.1,Standard Double Room,1 queen bed,603
The Journey Hotel Bangna,Samut Prakan,8.7,Excellent,469,9.1,Standard King Room,1 full bed,619
X10 Khaolak Resort SHA Plus,Khao Lak,8.9,Excellent,178,9.2,Deluxe Double or Twin Room - Family Wing,1 double or 2 twins,1224
Namaka Resort Kamala - SHA Extra Plus,Kamala Beach,7.8,Good,905,8.3,Premier Room with Sea View,1 queen bed,1957
SKYVIEW Hotel Bangkok - SHA Extra Plus,"Khlong Toei, Bangkok",8.6,Excellent,3376,9.2,Premier,Multiple bed types,3246
Diamond Resort Phuket - SHA,Bang Tao Beach,8.8,Excellent,754,9.0,Deluxe Suite Double,"2 beds (1 full, 1 sofa bed)",2006
Blue Sky Residence Airport,Ban Bang Phli Yai,7.9,Good,221,8.3,Superior Twin Room,2 twin beds,513
Sukantara Cascade Resort and Spa,Mae Rim,8.8,Excellent,85,8.8,Deluxe Jacuzzi Panorama,1 queen bed,2753
Huernnana Boutique Hotel,Phrae,7.0,Good,95,9.0,Nana Deluxe Twin Room,2 twin beds,1259
Amari Phuket,Patong Beach,8.2,Very Good,1213,8.4,One-Bedroom Suite,1 queen bed,5497
Paripas Patong Resort - SHA Extra Plus,Patong Beach,8.0,Very Good,1354,8.4,Deluxe Twin or Double Room with Balcony (No View),1 double or 2 twins,1048
The Canal 304,"304 Industrial Park, Si Maha Phot",8.9,Excellent,158,8.9,Luxury Suite,1 king bed,1397
Mövenpick Resort Khao Yai,Ban Wang Sai,7.6,Good,397,8.0,Deluxe King Room,1 full bed,2343
Phuphavaree by Tahug Sai Yok,Ban Ai Hit,7.3,Good,12,9.0,Tent,1 queen bed,498
La Miniera Pool Villas Pattaya - SHA Plus,Nong Prue,8.8,Excellent,27,9.4,Pool Villa,Multiple bed types,4463
Phu Pha Phung Resort,Suan Phung,7.6,Good,402,9.0,Villa Family,"9 beds (7 twins, 2 fulls)",3944
Limon Villa Khao Yai by Tolani,Wangkata,7.9,Good,86,8.1,Deluxe Villa,1 king bed,1196
Novotel Bangkok IMPACT,Nonthaburi,8.4,Very Good,722,8.9,Executive King Room,1 king bed,2009
Samui Resotel Beach Resort - SHA extra plus,"Chaweng Beachfront, Chaweng",8.1,Very Good,825,8.5,Standard Double Room,1 king bed,2310
Anchalee Resort,Bang Saphan,7.8,Good,103,9.0,Double Room,1 full bed,387
Regent Lodge Lampang,Lampang,7.8,Good,597,8.1,Superior Double Room,1 full bed,262
Atta Lakeside Resort Suite - SHA Plus Certified,Mu Si,8.7,Excellent,723,8.9,One-Bedroom Suite,"2 beds (1 king, 1 sofa bed)",2731
"Kimpton Maa-Lai Bangkok, an IHG Hotel","Pathumwan, Bangkok",9.4,Wonderful,474,9.7,Essential Room,Multiple bed types,5655
Eastin Thana City Golf Resort Bangkok,Samutprakarn,8.4,Very Good,579,8.9,Superior Room,2 twin beds,929
Sukhothai Heritage Resort - SHA PLUS,Sawankhalok,8.2,Very Good,48,8.5,Superior King Room with Pool View,1 king bed,1285
El Matcha Lanta Resort,Phra Ae beach,8.9,Excellent,194,9.3,Bungalow with Garden View,1 queen bed,845
